Progeny Sire    Dam     Sex  G   NMPrg NFPrg F        Homo     Phen      Res       Polygene  QTL       Final_EBV
184     0       0       F   0    1     0     0.000000 0.717044 -1.531846 -1.554970 +0.000000 +0.023125 -0.132206
185     0       0       F   0    1     4     0.000000 0.724600 -0.047563 -0.218053 -0.000000 +0.170489 +0.019285
186     0       0       F   0    2     0     0.000000 0.700511 -0.351341 -0.211497 -0.000000 -0.139844 -0.030323
187     0       0       F   0    1     1     0.000000 0.690911 -0.678326 -0.728355 -0.000000 +0.050029 -0.053629
188     0       0       F   0    1     2     0.000000 0.689022 +0.468751 -0.196480 +0.000000 +0.665231 -0.057097
189     0       0       F   0    1     2     0.000000 0.683667 +0.231491 +0.340458 -0.000000 -0.108967 -0.052226
190     0       0       F   0    2     5     0.000000 0.698244 +1.312190 +1.032130 -0.000000 +0.280060 +0.147463
191     0       0       F   0    3     2     0.000000 0.704844 +0.461564 +0.955561 -0.000000 -0.493997 +0.097843
192     0       0       F   0    0     2     0.000000 0.707711 -0.400029 -0.329128 +0.000000 -0.070901 -0.071902
193     0       0       F   0    0     3     0.000000 0.713556 +0.417832 +0.702323 +0.000000 -0.284491 -0.072336
194     0       0       F   0    0     3     0.000000 0.714556 -0.623159 -0.709234 -0.000000 +0.086075 +0.002674
195     0       0       F   0    2     2     0.000000 0.692822 -0.053227 +0.380634 +0.000000 -0.433860 +0.048267
196     0       0       F   0    2     0     0.000000 0.709756 -0.443272 +0.062126 +0.000000 -0.505398 -0.038257
197     0       0       F   0    4     5     0.000000 0.692378 +1.320776 +1.004611 +0.000000 +0.316165 +0.263286
198     0       0       F   0    3     1     0.000000 0.715778 +0.664018 +0.573052 -0.000000 +0.090966 +0.035266
199     0       0       F   0    4     1     0.000000 0.710511 +1.421500 +1.423647 -0.000000 -0.002147 +0.072759
200     0       0       F   0    3     1     0.000000 0.698222 +0.294887 +0.201041 -0.000000 +0.093846 +0.022539
201     0       0       F   0    1     3     0.000000 0.702311 +0.332118 +0.710029 -0.000000 -0.377911 +0.048836
202     0       0       F   0    3     1     0.000000 0.702889 +0.829370 +0.648495 +0.000000 +0.180875 +0.052308
203     0       0       F   0    3     1     0.000000 0.706889 -0.269756 -0.353268 -0.000000 +0.083512 +0.031416
204     0       0       F   0    4     1     0.000000 0.705067 +1.247842 +1.600407 +0.000000 -0.352565 +0.028644
205     0       0       F   0    1     3     0.000000 0.685956 +0.272825 +0.415326 +0.000000 -0.142502 +0.019266
206     0       0       F   0    1     3     0.000000 0.692000 +0.621539 +1.070180 -0.000000 -0.448641 -0.019086
207     0       0       F   0    4     1     0.000000 0.685622 +0.528613 +0.729147 -0.000000 -0.200535 +0.060706
208     0       0       F   0    1     4     0.000000 0.703511 +0.608461 +0.312923 +0.000000 +0.295537 +0.079143
209     0       0       F   0    2     0     0.000000 0.716333 -0.747706 -0.995913 +0.000000 +0.248208 -0.064531
210     0       0       F   0    3     2     0.000000 0.724000 +0.599272 +0.764605 +0.000000 -0.165333 +0.092643
211     0       0       F   0    1     2     0.000000 0.702911 +0.110453 -0.254688 +0.000000 +0.365141 -0.033632
212     0       0       F   0    2     1     0.000000 0.693000 -0.176735 +0.009234 +0.000000 -0.185969 -0.023976
213     0       0       F   0    1     2     0.000000 0.704933 +0.101675 -0.379478 -0.000000 +0.481153 +0.004208
214     0       0       F   0    1     1     0.000000 0.704867 -0.106483 -0.095913 +0.000000 -0.010571 -0.046161
215     0       0       F   0    1     1     0.000000 0.703600 -0.906591 -1.534061 +0.000000 +0.627470 -0.030442
216     0       0       F   0    1     2     0.000000 0.708467 -0.024071 -0.044957 +0.000000 +0.020885 -0.055286
217     0       0       F   0    3     2     0.000000 0.699911 +1.490918 +1.474174 +0.000000 +0.016744 +0.053341
218     0       0       F   0    3     3     0.000000 0.708733 +1.001534 +1.156631 +0.000000 -0.155097 +0.138119
219     0       0       F   0    2     3     0.000000 0.697956 -0.158313 -0.085629 -0.000000 -0.072684 +0.062218
220     0       0       F   0    0     3     0.000000 0.712178 +0.377860 +0.212990 +0.000000 +0.164869 -0.002419
221     0       0       F   0    0     1     0.000000 0.697600 -1.167791 -0.966749 -0.000000 -0.201042 -0.099813
222     0       0       F   0    1     2     0.000000 0.692267 +0.171036 +0.311865 +0.000000 -0.140829 +0.007495
223     0       0       F   0    0     1     0.000000 0.697911 -2.092353 -1.925655 +0.000000 -0.166698 -0.195132
224     0       0       F   0    2     1     0.000000 0.701689 -0.041769 -0.139310 +0.000000 +0.097541 +0.009560
225     0       0       F   0    2     0     0.000000 0.706333 -0.620058 -0.899351 +0.000000 +0.279293 -0.053514
226     0       0       F   0    1     2     0.000000 0.705089 +0.032182 -0.135822 +0.000000 +0.168005 -0.059859
227     0       0       F   0    2     0     0.000000 0.693889 -0.637641 -0.496893 -0.000000 -0.140748 -0.055032
